codigo,nombre_producto,categoria,descripcion,precio_venta,precio_compra,stock_actual,stock_minimo,unidades_por_paquete,porcentaje_ganancia,fecha_expiracion,activo
ARR-001,Arroz blanco,Abarrotes,Bolsa 1 libra,25.00,18.00,200,20,1,30,,True
ARR-002,Arroz blanco,Abarrotes,Bolsa 5 libras,115.00,95.00,80,10,1,25,,True
AZU-001,Azúcar refinada,Abarrotes,Bolsa 1 libra,22.00,16.00,150,15,1,30,,True
AZU-002,Azúcar refinada,Abarrotes,Bolsa 5 libras,100.00,82.00,60,8,1,22,,True
ACE-001,Aceite vegetal,Abarrotes,900ml,85.00,65.00,120,12,1,30,,True
FRI-001,Frijol rojo,Abarrotes,Bolsa 1 libra,35.00,26.00,100,15,1,30,,True
LEC-001,Leche entera,Lácteos,1 litro,42.00,32.00,90,10,1,30,,True
QUE-001,Queso crema,Lácteos,200g,55.00,42.00,50,5,1,30,,True
YOG-001,Yogurt natural,Lácteos,1 litro,48.00,36.00,45,5,1,30,,True
COC-001,Coca-Cola 500ml,Bebidas,500ml,25.00,18.00,200,24,1,35,,True
AGU-001,Agua mineral 600ml,Bebidas,600ml,15.00,10.00,300,30,1,40,,True
JUG-001,Jugo naranja 1L,Bebidas,1 litro,45.00,32.00,80,10,1,35,,True
JAB-001,Jabón de barra,Limpieza,Unidad,12.00,8.00,150,20,1,40,,True
DET-001,Detergente líquido,Limpieza,1 litro,95.00,72.00,60,8,1,30,,True
CLO-001,Cloro 1L,Limpieza,1 litro,28.00,20.00,100,12,1,35,,True
CHO-001,Chorizo,Carnes y embutidos,Libra,120.00,95.00,30,5,1,25,,True
JAM-001,Jamón de pierna,Carnes y embutidos,Libra,180.00,145.00,25,5,1,22,,True
PAN-001,Pan blanco,Panadería,Unidad,15.00,10.00,80,15,1,40,,True
PAN-002,Pan integral,Panadería,Unidad,22.00,16.00,50,10,1,35,,True
ATU-001,Atún en lata,Enlatados,170g,35.00,26.00,120,15,1,30,,True
SAR-001,Sardinas en salsa,Enlatados,425g,42.00,32.00,80,10,1,28,,True
PAS-001,Pasta dental,Higiene personal,75ml,45.00,32.00,100,12,1,35,,True
JAB-002,Jabón corporal,Higiene personal,Unidad,28.00,20.00,120,15,1,35,,True
SHA-001,Shampoo,Higiene personal,400ml,95.00,72.00,70,8,1,30,,True
CAF-001,Café molido,Abarrotes,500g,120.00,95.00,55,8,1,25,,True
