numero_factura,codigo_producto,cantidad,precio_unitario
FAC-2024-00001,ARR-001,2,25.00
FAC-2024-00001,AZU-001,1,22.00
FAC-2024-00001,LEC-001,2,42.00
FAC-2024-00002,ACE-001,1,85.00
FAC-2024-00002,FRI-001,2,35.00
FAC-2024-00002,COC-001,4,25.00
FAC-2024-00003,PAN-001,3,15.00
FAC-2024-00003,JAM-001,1,180.00
FAC-2024-00004,ARR-002,10,115.00
FAC-2024-00004,AZU-002,5,100.00
FAC-2024-00004,ACE-001,5,85.00
FAC-2024-00005,DET-001,1,95.00
FAC-2024-00005,CLO-001,2,28.00
FAC-2024-00006,YOG-001,2,48.00
FAC-2024-00006,AGU-001,6,15.00
FAC-2024-00007,ATU-001,3,35.00
FAC-2024-00007,SAR-001,2,42.00
FAC-2024-00008,ARR-001,20,25.00
FAC-2024-00008,LEC-001,15,42.00
FAC-2024-00008,COC-001,24,25.00
FAC-2024-00009,PAS-001,1,45.00
FAC-2024-00009,SHA-001,1,95.00
FAC-2024-00010,CAF-001,1,120.00
FAC-2024-00010,SAL-001,2,18.00
FAC-2024-00011,HAR-001,2,35.00
FAC-2024-00011,FRI-001,1,35.00
FAC-2024-00012,CHO-001,1,120.00
FAC-2024-00012,PAN-002,2,22.00
FAC-2024-00013,JAB-001,5,12.00
FAC-2024-00013,JAB-002,2,28.00
FAC-2024-00014,ARR-002,8,115.00
FAC-2024-00014,AZU-002,8,100.00
FAC-2024-00014,LEC-001,10,42.00
FAC-2024-00015,JUG-001,2,45.00
FAC-2024-00015,AGU-001,4,15.00
FAC-2024-00016,QUE-001,2,55.00
FAC-2024-00016,YOG-001,1,48.00
FAC-2024-00017,ATU-001,4,35.00
FAC-2024-00017,SAR-001,3,42.00
FAC-2024-00018,DET-001,2,95.00
FAC-2024-00018,CLO-001,3,28.00
FAC-2024-00019,CAF-001,2,120.00
FAC-2024-00019,ACE-001,2,85.00
FAC-2024-00020,ARR-001,15,25.00
FAC-2024-00020,FRI-001,10,35.00
FAC-2024-00020,LEC-001,8,42.00
FAC-2024-00020,COC-001,12,25.00
